Country Code;Acces_electricite_population_%_2018
ABW;100
AFE;43.0350733507835
AFG;93.4
AFW;51.3358293517534
AGO;45.3
ALB;100
AND;100
ARB;88.6898406472267
ARE;100
ARG;100
ARM;99.9
ASM;
ATG;100
AUS;100
AUT;100
AZE;100
BDI;9.5
BEL;100
BEN;39
BFA;14.4
BGD;86.9
BGR;98.7
BHR;100
BHS;100
BIH;100
BLR;99.3
BLZ;91.7
BMU;100
BOL;92.8
BRA;99.7
BRB;100
BRN;100
BTN;100
BWA;68.3
CAF;14.6
CAN;100
CEB;99.8728287723092
CHE;100
CHI;100
CHL;100
CHN;100
CIV;67.1
CMR;62.2
 République démocratique du;18
 République du;46.2
COL;98.5
COM;81
CPV;90.2
CRI;99.7
CSS;95.7894023713574
CUB;99.6
CUW;100
CYM;100
CYP;100
CZE;100
DEU;100
DJI;62.4
DMA;99.6
DNK;100
DOM;98.9
DZA;99.6
EAP;97.4123829747175
EAR;91.9927109222765
EAS;97.66096406877
ECA;99.9421311226644
ECS;99.9703717538446
ECU;98.7
 République arabe d’;100
EMU;100
ERI;49.1
ESP;100
EST;100
ETH;44.8
EUU;99.9708530544371
FCS;54.5154686576955
FIN;100
FJI;95.1
FRA;100
FRO;100
 États fédérés de;76.5
GAB;89.6
GBR;100
GEO;99.9
GHA;80.4
GIB;100
GIN;45
GMB;60.3
GNB;28.4
GNQ;66.5
GRC;100
GRD;92.3
GRL;100
GTM;94.2
GUM;100
GUY;90.9
HIC;99.9632829756948
 RAS de Hong Kong;100
HND;91.6
HPC;43.9780559155511
HRV;100
HTI;44.4
HUN;100
IBD;97.7500255167055
IBT;88.2039407170729
IDA;61.3544488257822
IDB;73.441196548076
IDN;98.5
IDX;55.235538776441
IMN;100
IND;95.7
INX;
IRL;100
 République islamique d’;99.9
IRQ;99.9
ISL;100
ISR;100
ITA;100
JAM;98.2
JOR;99.9
JPN;100
KAZ;100
KEN;61.2
KGZ;100
KHM;80.7
KIR;87.5
KNA;100
 République de;100
KWT;100
LAC;97.5735934747518
LAO;92.9
LBN;99.7
LBR;22.8
LBY;67
LCA;100
LCN;97.7563717142321
LDC;51.0874202600401
LIC;40.5813805091217
LIE;100
LKA;99.6
 tranche inférieure;84.6891101044614
LMY;87.5559284637152
LSO;47
LTE;99.2807159130097
LTU;100
LUX;100
LVA;100
 Chine;100
MAF;100
MAR;98.1
MCO;100
MDA;100
MDG;36.5
MDV;100
MEA;95.8581028917348
MEX;99.5
MHL;95.3
MIC;92.9012158116116
MKD;99.8
MLI;50.9
MLT;100
MMR;66.1
MNA;95.232006361719
MNE;100
MNG;98.1
MNP;100
MOZ;31.1
MRT;43.6
MUS;99.8
MWI;18
MYS;100
NAC;100
NAM;52.3
NCL;100
NER;17.6
NGA;56.5
NIC;85.2
NLD;100
NOR;100
NPL;93.9
NRU;99.9
NZL;100
OED;99.898682986239
OMN;100
OSS;91.5203231214311
PAK;93.4
PAN;93.8
PER;95.2
PHL;94.2
PLW;100
PNG;16.6
POL;100
PRE;47.1055374833379
PRI;100
 République démocratique de;44.2
PRT;100
PRY;99.6
PSE;100
PSS;82.69782730903
PST;99.9817826900216
PYF;100
QAT;100
ROU;99.8
RUS;100
RWA;38
SAS;94.6172397340511
SAU;99.9
SDN;55.3
SEN;66
SGP;100
SLB;65.8
SLE;26.1
SLV;97
SMR;100
SOM;50.7
SRB;100
SSA;46.4120038049762
SSD;6.3
SSF;46.4166752425457
SST;91.0307233970485
STP;71
SUR;97.4
SVK;100
SVN;100
SWE;100
SWZ;74
SXM;100
SYC;100
SYR;86
TCA;100
TCD;10.1
TEA;98.051229750632
TEC;99.9407109333352
TGO;50
THA;99.8
TJK;99.3
TKM;100
TLA;97.7078847938323
TLS;85.2
TMN;95.177571007895
TON;99
TSA;94.6172397340511
TSS;46.4166752425457
TTO;100
TUN;99.8
TUR;100
TUV;99
TZA;34.9
UGA;41.9
UKR;100
 tranche supérieure;99.1210835166054
URY;99.8
USA;100
UZB;100
VCT;100
VEN;99.9
VGB;100
VIR;100
VNM;100
VUT;61.6
WLD;89.7963518726606
WSM;99.8
XKX;
 Rép. du;79.2
ZAF;84.7
ZMB;40.2
ZWE;45.4
