Country Code;stress_hydrique_2018
ABW;
AFE;
AFG;54.7570194384
AFW;15.2
AGO;1.8718832891
ALB;5.7572115385
AND;18.5
ARB;620.4
ARE;1667.3333333333
ARG;10.4566640772
ARM;54.7508573734
ASM;22.4
ATG;8.4615384615
AUS;4.9577804584
AUT;8.7838875073
AZE;53.7293000662
BDI;10.19286754
BEL;51.2899262899
BEN;0.975243811
BFA;7.8202676864
BGD;5.7233394816
BGR;40.0990464927
BHR;133.7068965517
BHS;8.9
BIH;2.0717131474
BLR;4.581410679
BLZ;1.2602944847
BMU;35.1
BOL;1.2359853213
BRA;1.4641127257
BRB;87.5
BRN;3.4664657121
BTN;1.4138075314
BWA;2.1332217923
CAF;0.3356481481
CAN;3.7335736354
CEB;34.8
CHE;6.4988558352
CHI;25
CHL;8.982121089
CHN;43.3027563138
CIV;5.0875656743
CMR;1.5604301075
COD;0.2268835048
COG;0.0274463007
COL;4.0634611677
COM;0.8333333333
CPV;44.3890084074
CRI;5.2110238908
CSS;28.3
CUB;23.9394460692
CUW;45.6
CYM;30.5
CYP;28.2941498086
CZE;24.1788321168
DEU;36.8984841009
DJI;6.3333333333
DMA;10
DNK;29.9031097891
DOM;39.553314121
DZA;137.9203602082
EAP;88.2
EAR;42.7
EAS;104.5
ECA;51.9
ECS;38.2
ECU;6.7823529412
EGY;141.1657559199
EMU;
ERI;11.1751152074
ESP;40.0940695297
EST;17.4084415584
ETH;32.2571865443
EUU;45.8
FCS;21.9
FIN;6.6397913208
FJI;0.2973730298
FRA;23.5690486825
FRO;5.1
FSM;11.2
GAB;0.502166065
GBR;14.3546462063
GEO;4.2056026059
GHA;6.3147340889
GIB;65
GIN;1.3692307692
GMB;2.2096563723
GNB;1.4957264957
GNQ;0.1835032437
GRC;20.4774428485
GRD;7.05
GRL;0.3
GTM;5.7420970807
GUM;55.8
GUY;3.2984018265
HIC;35.4
HKG;78.9
HND;4.621268764
HPC;14.2
HRV;1.4866740774
HTI;13.3837917667
HUN;8.4947521554
IBD;41.3
IBT;39.8
IDA;18.6
IDB;24.7
IDN;29.6965452848
IDX;12.9
IMN;15
IND;66.4920928322
IRL;20.0421348315
IRN;81.2890812891
IRQ;47.1404494382
ISL;0.394075282
ISR;95.9365024588
ITA;29.6810291656
JAM;12.2144838307
JOR;102.2261601506
JPN;36.367816092
KAZ;32.6518723994
KEN;33.2399010717
KGZ;50.0389559797
KHM;1.0365448505
KIR;9.8
KNA;50.8333333333
KOR;85.2218330414
KWT;3850.5
LAC;19.7
LAO;4.7718383312
LBN;58.7929915639
LBR;0.2643115942
LBY;817.1428571429
LCA;14.3
LCN;20.1
LDC;11.5
LIC;10.3
LIE;8.7
LKA;90.7854137447
LMC;38.5
LMY;34.2
LSO;2.5659050967
LTE;32.9
LTU;1.8341023792
LUX;4.328358209
LVA;1.0804301709
MAC;92.4
MAF;40
MAR;50.7512120194
MCO;42.6
MDA;12.4294624295
MDG;11.2615062762
MDV;15.6666666667
MEA;540.7
MEX;44.4626841768
MHL;13.5
MIC;43.1
MKD;52.1227008712
MLI;8.0030864198
MLT;84.6230029703
MMR;5.8015013966
MNA;552.3
MNE;6.4
MNG;3.3950073421
MNP;28.9
MOZ;1.7514863258
MRT;13.2462173315
MUS;21.4830970556
MWI;17.5048380854
MYS;3.4394871795
NAC;21.3
NAM;0.8615525672
NCL;7.5
NER;10.3733404437
NGA;9.6682170543
NIC;2.2697733617
NLD;16.3669836132
NOR;2.0444499255
NPL;8.3118326623
NRU;28.9
NZL;8.0480847596
OED;33.7
OMN;116.7142857143
OSS;26.4
PAK;118.2381448991
PAN;0.9010711098
PER;6.9552462368
PHL;28.1742007918
PLW;17.3
PNG;0.1322428331
POL;33.2225683628
PRE;
PRI;19.5356106274
PRK;27.7404677988
PRT;12.3157122765
PRY;1.835399711
PSE;42.7471116816
PSS;19.5
PST;22.1
PYF;3.2
QAT;431.0344827586
ROU;6.0069281902
RUS;4.1222427493
RWA;19.0439799831
SAS;88.4
SAU;974.1666666667
SDN;118.6563876652
SEN;16.0861244019
SGP;81.3833333333
SLB;1.5
SLE;0.4957943925
SLV;13.2127261385
SMR;21.8
SOM;24.527740592
SRB;6.2633832976
SSA;13.9
SSD;4.2260757868
SSF;14.1
SST;25.7
STP;1.876146789
SUR;3.950609365
SVK;2.3945783133
SVN;6.4976335362
SWE;3.5206349206
SWZ;77.559912854
SXM;45
SYC;24.1
SYR;124.360138926
TCA;33.7
TCD;4.294921875
TEA;97.3
TEC;36.2
TGO;3.391634981
THA;23.0139351833
TJK;64.4808022167
TKM;138.485316847
TLA;21.4
TLS;28.2682103232
TMN;175.2
TON;14.6
TSA;91.7
TSS;23.8
TTO;20.3264812576
TUN;95.9987812
TUR;45.3788754364
TUV;15.2
TZA;12.9632408102
UGA;5.8279963403
UKR;13.8701736201
UMC;47.6
URY;9.7860962567
USA;28.1619842696
UZB;160.3842844852
VCT;7.9
VEN;7.5403666667
VGB;28.4
VIR;35.9
VNM;18.1303153792
VUT;10.5
WLD;34.9
WSM;14.6
XKX;13
YEM;169.7619047619
ZAF;62.888248479
ZMB;2.8354978355
ZWE;35.405385383
