Country Code;Population_urbaine_%_2018
ABW;43.411
AFE;35.8933979262181
AFG;25.495
AFW;46.7097526162217
AGO;65.514
ALB;60.319
AND;88.062
ARB;58.0104842292073
ARE;86.522
ARG;91.87
ARM;63.149
ASM;87.153
ATG;24.599
AUS;86.012
AUT;58.297
AZE;55.68
BDI;13.032
BEL;98.001
BEN;47.312
BFA;29.358
BGD;36.632
BGR;75.008
BHR;89.287
BHS;83.025
BIH;48.245
BLR;78.595
BLZ;45.724
BMU;100
BOL;69.425
BRA;86.569
BRB;31.147
BRN;77.629
BTN;40.895
BWA;69.446
CAF;41.364
CAN;81.411
CEB;62.3388759895791
CHE;73.797
CHI;30.914
CHL;87.564
CHN;59.152
CIV;50.779
CMR;56.374
 République démocratique du;43.88
 République du;66.459
COL;80.778
COM;28.965
CPV;65.732
CRI;79.34
CSS;46.2088839898113
CUB;77.037
CUW;89.145
CYM;100
CYP;66.81
CZE;73.792
DEU;77.312
DJI;77.777
DMA;70.483
DNK;87.874
DOM;81.074
DZA;72.629
EAP;55.6392400876998
EAR;44.9830331970367
EAS;59.0346049837374
ECA;63.3012882559489
ECS;72.1818246275918
ECU;63.821
 République arabe d’;42.705
EMU;76.7602257724378
ERI;40.08
ESP;80.321
EST;68.88
ETH;20.763
EUU;74.5199347694146
FCS;42.927213828579
FIN;85.382
FJI;56.248
FRA;80.444
FRO;42.064
 États fédérés de;22.608
GAB;89.37
GBR;83.398
GEO;58.632
GHA;56.06
GIB;100
GIN;36.14
GMB;61.27
GNB;43.36
GNQ;72.143
GRC;79.058
GRD;36.272
GRL;86.816
GTM;51.054
GUM;94.78
GUY;26.606
HIC;80.1536610685452
 RAS de Hong Kong;100
HND;57.096
HPC;36.0931323349764
HRV;56.947
HTI;55.278
HUN;71.351
IBD;55.0784159525631
IBT;50.3022608417101
IDA;36.8687600283367
IDB;42.1758519476534
IDN;55.325
IDX;34.1820473721284
IMN;52.588
IND;34.03
INX;35.9
IRL;63.17
 République islamique d’;74.394
IRQ;70.473
ISL;93.813
ISR;92.418
ITA;70.438
JAM;55.674
JOR;90.979
JPN;91.616
KAZ;57.428
KEN;27.03
KGZ;36.351
KHM;23.388
KIR;54.057
KNA;30.776
 République de;81.503
KWT;100
LAC;80.0961882807648
LAO;35.004
LBN;88.593
LBR;51.151
LBY;80.102
LCA;18.678
LCN;80.6118837550519
LDC;33.6667279661463
LIC;32.7569869104427
LIE;14.338
LKA;18.476
 tranche inférieure;37.9908696780081
LMY;49.4321067332779
LSO;28.153
LTE;62.3760863822195
LTU;67.679
LUX;90.981
LVA;68.142
 Chine;100
MAF;100
MAR;62.453
MCO;100
MDA;42.629
MDG;37.191
MDV;39.808
MEA;64.55446322406
MEX;80.156
MHL;77.031
MIC;51.3295876222864
MKD;57.963
MLI;42.356
MLT;94.612
MMR;30.579
MNA;61.042829125234
MNE;66.813
MNG;68.445
MNP;91.618
MOZ;35.988
MRT;53.672
MUS;40.793
MWI;16.937
MYS;76.036
NAC;82.1730443693373
NAM;50.032
NCL;70.683
NER;16.425
NGA;50.344
NIC;58.522
NLD;91.49
NOR;82.248
NPL;19.74
NRU;100
NZL;86.538
OED;80.6019181329692
OMN;84.539
OSS;58.426508537666
PAK;36.666
PAN;67.709
PER;77.907
PHL;46.907
PLW;79.93
PNG;13.169
POL;60.058
PRE;41.4439041161344
PRI;93.578
 République démocratique de;61.678
PRT;65.211
PRY;61.585
PSE;76.164
PSS;38.4317318565749
PST;81.2782187539067
PYF;61.834
QAT;99.135
ROU;53.998
RUS;74.433
RWA;17.211
SAS;34.0190466389173
SAU;83.844
SDN;34.642
SEN;47.192
SGP;100
SLB;23.749
SLE;42.055
SLV;72.023
SMR;97.226
SOM;44.971
SRB;56.092
SSA;40.2983875109116
SSD;19.615
SSF;40.2998165075392
SST;53.8454781660129
STP;72.803
SUR;66.06
SVK;53.726
SVN;54.541
SWE;87.431
SWZ;23.799
SXM;100
SYC;56.691
SYR;54.162
TCA;93.098
TCD;23.059
TEA;55.5614585448153
TEC;66.2902436636356
TGO;41.702
THA;49.949
TJK;27.134
TKM;51.593
TLA;80.607740795928
TLS;30.578
TMN;60.8701933481656
TON;23.131
TSA;34.0190466389173
TSS;40.2998165075392
TTO;53.184
TUN;68.945
TUR;75.143
TUV;62.387
TZA;33.776
UGA;23.774
UKR;69.352
 tranche supérieure;63.9664218470281
URY;95.334
USA;82.256
UZB;50.478
VCT;52.198
VEN;88.208
VGB;47.723
VIR;95.721
VNM;35.919
VUT;25.274
WLD;55.0885486295672
WSM;18.243
XKX;60.1
 Rép. du;36.016
ZAF;66.355
ZMB;43.521
ZWE;32.209
