Country Code;RNB par habitant_(PPA)_2018
ABW;36710
AFE;3537.89553928067
AFG;2460
AFW;4071.28562392048
AGO;6780
ALB;13680
AND;
ARB;15242.6717280023
ARE;75320
ARG;23540
ARM;13080
ASM;
ATG;23390
AUS;48600
AUT;56380
AZE;14550
BDI;760
BEL;53000
BEN;2950
BFA;2010
BGD;5710
BGR;22140
BHR;49270
BHS;32370
BIH;14770
BLR;19300
BLZ;8880
BMU;88770
BOL;8740
BRA;15030
BRB;17760
BRN;65550
BTN;10950
BWA;14320
CAF;970
CAN;49130
CEB;31046.1251330938
CHE;68130
CHI;
CHL;24270
CHN;15940
CIV;4810
CMR;3940
 République démocratique du;970
 République du;3860
COL;14860
COM;3320
CPV;7750
CRI;20330
CSS;16713.8418071553
CUB;
CUW;24480
CYM;50130
CYP;39450
CZE;38890
DEU;57060
DJI;5050
DMA;13340
DNK;58840
DOM;17330
DZA;13430
EAP;14272.9714375793
EAR;9437.87800658378
EAS;17681.232226861
ECA;17777.6913517926
ECS;35474.1586708162
ECU;11860
 République arabe d’;10920
EMU;47667.8867846367
ERI;
ESP;40780
EST;35640
ETH;2090
EUU;44747.0583473328
FCS;4760.7302818435
FIN;49780
FJI;12370
FRA;47620
FRO;60610
 États fédérés de;3940
GAB;14410
GBR;46450
GEO;14460
GHA;5290
GIB;
GIN;2800
GMB;2240
GNB;1990
GNQ;14100
GRC;29290
GRD;14420
GRL;
GTM;9740
GUM;
GUY;12190
HIC;48488.178896036
 RAS de Hong Kong;61840
HND;5190
HPC;2581.06629637431
HRV;29470
HTI;3210
HUN;30660
IBD;13389.341185505
IBT;10904.2811649111
IDA;3929.9891304374
IDB;4988.43552768282
IDN;11030
IDX;3407.83491964315
IMN;
IND;6640
INX;
IRL;65900
 République islamique d’;15090
IRQ;11940
ISL;58160
ISR;40040
ITA;43510
JAM;9660
JOR;9000
JPN;43750
KAZ;22010
KEN;4350
KGZ;4630
KHM;5390
KIR;4620
KNA;29540
 République de;41120
KWT;58160
LAC;15767.5852063188
LAO;7160
LBN;21540
LBR;1570
LBY;19120
LCA;16570
LCN;16281.8678661216
LDC;3172.58334502147
LIC;1925.59138620546
LIE;
LKA;13820
 tranche inférieure;6056.80605440818
LMY;10151.1578864841
LSO;3130
LTE;17383.24476141
LTU;35250
LUX;83270
LVA;30390
 Chine;107670
MAF;
MAR;7680
MCO;
MDA;12430
MDG;1490
MDV;19900
MEA;17315.1204649555
MEX;20380
MHL;6370
MIC;11093.4600138396
MKD;17690
MLI;2180
MLT;43690
MMR;5430
MNA;11190.8883538588
MNE;21770
MNG;11160
MNP;
MOZ;1300
MRT;5400
MUS;24190
MWI;1320
MYS;26930
NAC;62395.9173061933
NAM;9490
NCL;
NER;1330
NGA;4950
NIC;5640
NLD;57610
NOR;73090
NPL;3980
NRU;13070
NZL;40960
OED;45402.1822591592
OMN;35750
OSS;23618.6186086905
PAK;4900
PAN;29900
PER;12430
PHL;9250
PLW;17410
PNG;3690
POL;30980
PRE;3572.72774563132
PRI;23260
 République démocratique de;
PRT;34080
PRY;13650
PSE;7280
PSS;7002.05717937677
PST;49999.8880763015
PYF;
QAT;107780
ROU;29050
RUS;27930
RWA;2050
SAS;6313.51265273059
SAU;57250
SDN;3960
SEN;3290
SGP;91190
SLB;2460
SLE;2610
SLV;8680
SMR;49590
SOM;1540
SRB;17570
SSA;3752.53240174836
SSD;
SSF;3754.87017190101
SST;20322.206301566
STP;3960
SUR;16120
SVK;30880
SVN;38390
SWE;54080
SWZ;7980
SXM;40710
SYC;30560
SYR;3330
TCA;26690
TCD;1610
TEA;14433.2413473198
TEC;22862.918660207
TGO;2070
THA;17960
TJK;3550
TKM;13760
TLA;16271.217331197
TLS;5120
TMN;11236.5608080757
TON;6710
TSA;6313.51265273059
TSS;3754.87017190101
TTO;28660
TUN;11550
TUR;27900
TUV;6420
TZA;2700
UGA;2250
UKR;12680
 tranche supérieure;14974.5880012645
URY;23020
USA;63900
UZB;8340
VCT;14660
VEN;
VGB;
VIR;
VNM;9500
VUT;3330
WLD;17029.255663558
WSM;6110
XKX;10190
 Rép. du;
ZAF;12970
ZMB;3390
ZWE;2560
